# Constructed from biom file
#OTU ID	MB1	IM2	MM2	MB2	NEB1	IB2	NEM2	IM1	MM1	NEM1	NLB1	IB1	NLB2	NEE2	NLM2	IE2	NLM1	NLE2	IE1	NEB2	NLE1	ME2	ME1	NEE1
1ba6d45fb5001c36a3e3fbc59165701eb83a428d	1.0	4.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	17.0	1.0	0.0	1.0	7.0	2.0	0.0	1.0	2.0	1.0	10.0
ba8cb0404d602eff614d68c6b0343b0f2b2e1246	2.0	13.0	2.0	0.0	1.0	3.0	2.0	5.0	2.0	6.0	1.0	1.0	2.0	3.0	5.0	0.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0
249ddbb0328c2ad8388426c6822121676be282c0	7.0	5.0	17.0	0.0	1.0	1.0	4.0	1.0	1.0	4.0	0.0	0.0	1.0	0.0	4.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0
d8b24998e59de671e97cf30ea78f0528266cf295	2.0	32.0	6.0	0.0	3.0	7.0	8.0	18.0	8.0	11.0	0.0	1.0	1.0	0.0	21.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
5d60d5467187b0950ffb1ff015fe084c842fc67c	3.0	7.0	1.0	6.0	9.0	7.0	2.0	7.0	2.0	5.0	7.0	7.0	8.0	9.0	6.0	0.0	2.0	2.0	0.0	14.0	4.0	3.0	2.0	18.0
9f9259a0e249008b956c4d7445b9520aa9f51e6b	0.0	0.0	0.0	2.0	10.0	1.0	6.0	1.0	0.0	4.0	1.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	1.0	0.0	4.0
6123bcab64bd69475f80bced0990bde0526c55f7	1.0	5.0	3.0	1.0	21.0	1.0	11.0	7.0	0.0	21.0	5.0	1.0	2.0	3.0	3.0	0.0	2.0	0.0	0.0	11.0	1.0	0.0	1.0	4.0
e1ec46b7b6d190036d3ba68c6dee0380805a025a	3.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	4.0	1.0	5.0	6.0	2.0	1.0	0.0	3.0	0.0	2.0	5.0	1.0	2.0	3.0
7c83fce91823cec608babf2b6034b190ce836c99	1.0	4.0	0.0	0.0	4.0	0.0	0.0	11.0	5.0	6.0	2.0	0.0	9.0	2.0	17.0	1.0	7.0	1.0	0.0	10.0	0.0	1.0	0.0	4.0
739a01a9a0d7eefcca58136e4f0cfaa1926b10e1	0.0	1.0	0.0	1.0	4.0	1.0	1.0	0.0	0.0	0.0	3.0	3.0	0.0	2.0	2.0	0.0	0.0	4.0	12.0	3.0	2.0	0.0	0.0	0.0
